row_index,title,status,row_type,indent_level,package,package_is_pmd,entry_origin,parent_leistung,zyklentext,zyklus_kind
90,Infusionen 15/18/25,Aktiv,paket,2,Infusionen 15/18/25,False,manuell,,,
91,Infusion mit Zusatz verabreichen,Aktiv,leistung,4,Infusionen 15/18/25,False,manuell,,1x tgl. 07:00 Uhr,mehrfach_pro_tag
92,Antibiotikum,Aktiv,detail,6,Infusionen 15/18/25,False,manuell,Infusion mit Zusatz verabreichen,,
93,Infusion mit Zusatz verabreichen,Aktiv,leistung,4,Infusionen 15/18/25,False,manuell,,2x pro Tag 07:00/19:00 Uhr,mehrfach_pro_tag
94,Antibiotikum,Aktiv,detail,6,Infusionen 15/18/25,False,manuell,Infusion mit Zusatz verabreichen,,
95,Infusion mit Zusatz verabreichen,Aktiv,leistung,4,Infusionen 15/18/25,False,manuell,,3x pro Tag 07:00/15:00/22:00,mehrfach_pro_tag
96,Antibiotikum,Aktiv,detail,6,Infusionen 15/18/25,False,manuell,Infusion mit Zusatz verabreichen,,
97,Verband Katheter/Kanüle wechseln,Aktiv,leistung,4,Infusionen 15/18/25,False,manuell,,1x tgl. 10:00 Uhr,mehrfach_pro_tag
98,Piccline,Aktiv,detail,6,Infusionen 15/18/25,False,manuell,Verband Katheter/Kanüle wechseln,,
99,VAC 15/18/25,Aktiv,paket,2,VAC 15/18/25,False,manuell,,,
100,Drainage überwachen,Aktiv,leistung,4,VAC 15/18/25,False,manuell,,3x pro Tag 08:00/16:00/22:00,mehrfach_pro_tag
101,mit VAC Pumpe,Aktiv,detail,6,VAC 15/18/25,False,manuell,Drainage überwachen,,
102,VAC rechts,Aktiv,detail,6,VAC 15/18/25,False,manuell,Drainage überwachen,,
103,Sekret-/Drainagebehälter leeren/wechseln,Aktiv,leistung,4,VAC 15/18/25,False,manuell,,"1x tgl. 8 Uhr (MO, MI, FR)",mehrfach_pro_tag
104,mit VAC Pumpe,Aktiv,detail,6,VAC 15/18/25,False,manuell,Sekret-/Drainagebehälter leeren/wechseln,,
105,Sonstige Drainage,Aktiv,detail,6,VAC 15/18/25,False,manuell,Sekret-/Drainagebehälter leeren/wechseln,,
106,Drainage überwachen,Aktiv,leistung,4,VAC 15/18/25,False,manuell,,3x pro Tag 08:00/16:00/22:00,mehrfach_pro_tag
107,mit VAC Pumpe,Aktiv,detail,6,VAC 15/18/25,False,manuell,Drainage überwachen,,
108,VAC links,Aktiv,detail,6,VAC 15/18/25,False,manuell,Drainage überwachen,,
109,Sekret-/Drainagebehälter leeren/wechseln,Aktiv,leistung,4,VAC 15/18/25,False,manuell,,"1x tgl. 8 Uhr (MO, MI, FR)",mehrfach_pro_tag
110,mit VAC Pumpe,Aktiv,detail,6,VAC 15/18/25,False,manuell,Sekret-/Drainagebehälter leeren/wechseln,,
111,Vac rechts,Aktiv,detail,6,VAC 15/18/25,False,manuell,Sekret-/Drainagebehälter leeren/wechseln,,
112,Tagesroutine,Aktiv,paket,2,Tagesroutine,False,manuell,,,
113,Bett zurechtmachen,Aktiv,leistung,4,Tagesroutine,False,manuell,,1x tgl. 08:00 Uhr,mehrfach_pro_tag
114,Bettwäsche wechseln,Aktiv,leistung,4,Tagesroutine,False,manuell,,1x tgl. 08:00 Uhr,mehrfach_pro_tag
115,Blutentnahme aus Kanüle/Katheter durchführen,Aktiv,leistung,4,Tagesroutine,False,manuell,,1x tgl. 08:00 Uhr,mehrfach_pro_tag
116,Blutentnahme assistieren,Aktiv,leistung,4,Tagesroutine,False,manuell,,1x tgl. 08:00 Uhr,mehrfach_pro_tag
118,Getränk bereitstellen/abräumen,Aktiv,leistung,4,Tagesroutine,False,manuell,,4x pro Tag zur Essenszeit,mehrfach_pro_tag
121,Injektion s.c. verabreichen,Aktiv,leistung,4,Tagesroutine,False,manuell,,1x tgl. 18:00 Uhr,mehrfach_pro_tag
122,Antikoagulation,Aktiv,detail,6,Tagesroutine,False,manuell,Injektion s.c. verabreichen,,
123,Mahlzeit bereitstellen/abräumen,Aktiv,leistung,4,Tagesroutine,False,manuell,,4x pro Tag zur Essenszeit,mehrfach_pro_tag
124,Medikament peroral verabreichen,Aktiv,leistung,4,Tagesroutine,False,manuell,,3x pro Tag 08:00/16:00/22:00,mehrfach_pro_tag
125,Material für Arztverrichtung vor-/nachbereiten,Aktiv,leistung,4,Tagesroutine,False,manuell,,1x tgl. 08:00 Uhr,mehrfach_pro_tag
126,Patientendokumentation führen,Aktiv,leistung,4,Tagesroutine,False,manuell,,3x pro Tag 08:00/16:00/22:00,mehrfach_pro_tag
127,Vitalzeichen messen,Aktiv,leistung,4,Tagesroutine,False,manuell,,3x pro Tag 07:00/15:00/21:00,mehrfach_pro_tag
128,Visite mit Ärztin/Behandlungsteam durchführen,Aktiv,leistung,4,Tagesroutine,False,manuell,,1x tgl. 10:00 Uhr,mehrfach_pro_tag
129,Venöse Blutentnahme durchführen,Aktiv,leistung,4,Tagesroutine,False,manuell,,1x tgl. 08:00 Uhr,mehrfach_pro_tag
130,nächtlicher Rundgang,Aktiv,leistung,4,Tagesroutine,False,manuell,,"5x pro Tag nachts 21, 23, 01, 03, 05",mehrfach_pro_tag
131,EQS Pneu,Aktiv,paket,2,EQS Pneu,False,manuell,,,
132,Atmung überwachen,Aktiv,leistung,4,EQS Pneu,False,manuell,,Zyklus für die EQS-Erfassung: Tage 1/3/7,sonderzyklus
133,Atemfrequenz,Aktiv,detail,6,EQS Pneu,False,manuell,Atmung überwachen,,
134,Sauerstoffsättigung überwachen,Aktiv,leistung,4,EQS Pneu,False,manuell,,Zyklus für die EQS-Erfassung: Tage 1/3/7,sonderzyklus
135,Vitalzeichen messen,Aktiv,leistung,4,EQS Pneu,False,manuell,,Zyklus für die EQS-Erfassung: Tage 1/3/7,sonderzyklus
136,Puls messen,Aktiv,detail,6,EQS Pneu,False,manuell,Vitalzeichen messen,,
137,Blutdruck messen,Aktiv,detail,6,EQS Pneu,False,manuell,Vitalzeichen messen,,
138,Körpertemperatur messen,Aktiv,detail,6,EQS Pneu,False,manuell,Vitalzeichen messen,,
247,10 Dekubitus/Wunde (PMD),Aktiv,paket,2,10 Dekubitus/Wunde (PMD),True,PMD,,,
248,Dekubitsrisiko (Experteneinschätzung): Weitere Risikoindikatoren vorhanden [1],Aktiv,leistung,4,10 Dekubitus/Wunde (PMD),True,PMD,,,
249,Dekubitus Kategorie/ Stadium III,Aktiv,leistung,4,10 Dekubitus/Wunde (PMD),True,PMD,,,
250,Wunde [1],Aktiv,leistung,4,10 Dekubitus/Wunde (PMD),True,PMD,,,
251,Dekubitusrisiko (Braden): hoch [1],Aktiv,leistung,4,10 Dekubitus/Wunde (PMD),True,PMD,,,
252,Dekubitusrisiko: Experteneinschätz = Ja,Aktiv,leistung,4,10 Dekubitus/Wunde (PMD),True,PMD,,,
253,Wunde versorgen,Aktiv,leistung,4,10 Dekubitus/Wunde (PMD),True,PMD,,1x tgl. 08:00 Uhr,mehrfach_pro_tag
254,Wunde..,Aktiv,detail,6,10 Dekubitus/Wunde (PMD),True,PMD,Wunde versorgen,,
255,Wunde versorgen,Aktiv,leistung,4,10 Dekubitus/Wunde (PMD),True,PMD,,1x tgl. 08:00 Uhr,mehrfach_pro_tag
